Category 1,Category 2,Category 3
Exempt,Charities,Charities
Exempt,Charities,Non-Profit
Exempt,Charities,Community Services
Exempt,Employment,Employment
Exempt,Employment,Pension
Exempt,Stock Exchange Fees,Stock Exchange Fees
Exempt,Taxes & Regulatory,Customs
Exempt,Taxes & Regulatory,Government
Exempt,Taxes & Regulatory,Municipalities
Exempt,Taxes & Regulatory,Taxes & Regulatory
Facilities,Construction,Architects
Facilities,Construction,Construction
Facilities,Construction,Construction Equipment
Facilities,Construction,Engineering
Facilities,Construction,Environmental
Facilities,Construction,Flooring
Facilities,Construction,General Contractors
Facilities,Construction,Materials & Supplies
Facilities,Equipment & Supplies,Furniture
Facilities,Equipment & Supplies,MRO Tools & Supplies
Facilities,Facilities Management,Cleaning
Facilities,Facilities Management,Doors & Windows
Facilities,Facilities Management,Electrical
Facilities,Facilities Management,Electrical & Power Systems
Facilities,Facilities Management,Elevator / Vertical Transport
Facilities,Facilities Management,Facilities Management
Facilities,Facilities Management,Property Management
Facilities,Facilities Management,Florists
Facilities,Facilities Management,HVAC
Facilities,Facilities Management,Landscaping
Facilities,Facilities Management,Pest Control
Facilities,Facilities Management,Plumbing
Facilities,Facilities Management,Real Estate Management
Facilities,Facilities Management,Waste Management
Facilities,Facilities Management,Water Conditioning
Facilities,Property,Leases & Rent
Facilities,Property,Real Estate
Facilities,Security & Fire,Security & Fire
Facilities,Security & Fire,Security Equipment & Services
Facilities,Security & Fire,Security Guards
Facilities,Utilities,Electricity
Facilities,Utilities,Gas & Oil
Facilities,Utilities,Utilities
Facilities,Utilities,Water
Human Resources,Benefits,Dental
Human Resources,Benefits,Healthcare
Human Resources,Benefits,Life Insurance
Human Resources,Benefits,Medical Insurance
Human Resources,Benefits,Retirement
Human Resources,Benefits,Vision
Human Resources,Benefits,Workers Comp
Human Resources,HR Services,Human Resources Services
Human Resources,HR Services,Payroll
Human Resources,HR Services,Recognition
Human Resources,HR Services,Training
Human Resources,Recruiting,Recruiting
Human Resources,Recruiting,Relocation
Human Resources,Temp Services,Temp Services
Information Technology,Hardware,Hardware
Information Technology,Hardware,Technology Leases
Information Technology,Hardware,Printers Copiers MFD
Information Technology,Hardware,Data Storage
Information Technology,Infrastructure,Data Center Hosting
Information Technology,Software,SAAS
Information Technology,Software,Software
Information Technology,Tech Services,Contract Programming
Information Technology,Tech Services,Cyber Security
Information Technology,Tech Services,Tech Services
Information Technology,Tech Services,Technology
Information Technology,Tech Services,Technology Services
Information Technology,Tech Services,IT Services
Information Technology,Telecom,Cable
Information Technology,Telecom,Cellular
Information Technology,Telecom,Telecom
Information Technology,Telecom,Telecom Equipment
Information Technology,VAR,VAR
Logistics,Fleet,Automotive Parts
Logistics,Fleet,Fleet Vehicles
Logistics,Logistics,Transportation
Logistics,Postage & Equipment,Postage & Equipment
Logistics,Third Party Logistics,Couriers
Logistics,Third Party Logistics,Freight
Logistics,Warehousing,Self Storage
Logistics,Warehousing,Warehousing
Marketing,Agency,Advertising
Marketing,Agency,Agency
Marketing,Agency,Public Relations
Marketing,Digital Media,Digital Media
Marketing,Digital Media,Online Audio Video
Marketing,Digital Media,SEM / SEO / Social Media
Marketing,Digital Media,Search
